IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.54.198.183,443,443,true,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,96,0.00
35.90.95.42,443,80,false,ORD,North America,Chicago,199,0.00
52.10.203.69,2087,80,false,ORD,North America,Chicago,200,0.00
52.10.203.69,8443,80,false,ORD,North America,Chicago,204,0.00
52.10.203.69,2083,80,false,ORD,North America,Chicago,204,0.00
35.90.95.42,8080,80,false,ORD,North America,Chicago,204,0.00
52.10.203.69,2053,80,false,ORD,North America,Chicago,210,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,242,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,243,0.00
13.36.162.145,2086,80,false,CDG,Europe,Paris,243,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,243,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,243,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,243,0.00
15.188.168.174,2083,80,false,CDG,Europe,Paris,243,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,243,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,243,0.00
15.188.168.174,2053,80,false,CDG,Europe,Paris,243,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,243,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,243,0.00
13.42.64.117,8080,443,true,LHR,Europe,London,244,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,244,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,244,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,244,0.00
15.223.1.84,8443,443,true,YUL,North America,Montréal,246,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,246,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,251,0.00
15.188.168.174,2086,80,false,CDG,Europe,Paris,251,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,251,0.00
13.36.162.145,2095,80,false,CDG,Europe,Paris,251,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,251,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,251,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,251,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,252,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,252,0.00
13.43.173.97,8080,443,true,LHR,Europe,London,252,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,252,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,252,0.00
15.188.168.174,2087,80,false,CDG,Europe,Paris,252,0.00
13.36.24.111,2052,80,false,CDG,Europe,Paris,253,0.00
18.168.201.241,2087,80,false,ORD,North America,Chicago,253,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,253,0.00
15.160.15.255,2052,80,false,MXP,Europe,Milan,255,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,256,0.00
18.170.69.246,443,80,false,ORD,North America,Chicago,258,0.00
18.168.201.241,80,80,false,ORD,North America,Chicago,258,0.00
3.121.121.165,80,80,false,FRA,Europe,Frankfurt,260,0.00
15.223.114.102,80,443,true,YYZ,North America,Toronto,260,0.00
3.123.32.137,8080,80,false,FRA,Europe,Frankfurt,260,0.00
15.160.14.66,2083,80,false,MXP,Europe,Milan,262,0.00
15.160.19.149,2052,80,false,MXP,Europe,Milan,263,0.00
15.160.80.28,2095,80,false,MXP,Europe,Milan,265,0.00
15.160.15.101,2083,80,false,MXP,Europe,Milan,266,0.00
18.170.69.246,8080,80,false,ORD,North America,Chicago,267,0.00
13.53.47.110,2082,80,false,ARN,Europe,Stockholm,268,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,268,0.00
13.60.63.76,8080,443,true,ARN,Europe,Stockholm,269,0.00
15.222.45.195,443,443,true,YYZ,North America,Toronto,269,0.00
15.160.15.101,2086,80,false,MXP,Europe,Milan,270,0.00
15.160.14.66,2082,80,false,MXP,Europe,Milan,272,0.00
13.53.47.110,2096,80,false,ARN,Europe,Stockholm,276,0.00
13.53.47.110,2053,80,false,ARN,Europe,Stockholm,276,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,276,0.00
13.53.47.110,2083,80,false,ARN,Europe,Stockholm,276,0.00
13.60.91.143,443,443,true,ARN,Europe,Stockholm,277,0.00
13.48.190.226,80,80,false,ARN,Europe,Stockholm,277,0.00
13.53.47.110,2087,80,false,ARN,Europe,Stockholm,277,0.00
13.53.47.110,2052,80,false,ARN,Europe,Stockholm,277,0.00
15.223.116.235,80,443,true,YYZ,North America,Toronto,279,0.00
13.245.152.196,2053,80,false,CPT,Africa,Cape Town,382,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,382,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,382,0.00
13.245.152.196,2087,80,false,CPT,Africa,Cape Town,382,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,384,0.00
13.245.152.196,2095,80,false,CPT,Africa,Cape Town,386,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,386,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,386,0.00
13.246.85.121,2087,80,false,CPT,Africa,Cape Town,386,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,388,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,390,0.00
