IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
20.185.28.234,44056,true,IAD,North America,Ashburn,227 ms,5650 kB/s
4.255.56.138,443,true,IAD,North America,Ashburn,283 ms,4639 kB/s
4.255.56.137,443,true,IAD,North America,Ashburn,277 ms,3909 kB/s
51.107.13.85,8443,true,MXP,Europe,Milan,277 ms,3365 kB/s
51.120.240.115,2087,true,CPH,Europe,Copenhagen,301 ms,3256 kB/s
20.108.51.255,443,true,LHR,Europe,London,280 ms,3078 kB/s
20.62.202.159,443,true,IAD,North America,Ashburn,279 ms,2713 kB/s
20.240.254.247,8443,true,ARN,Europe,Stockholm,320 ms,2626 kB/s
20.220.204.217,443,true,YYZ,North America,Toronto,241 ms,2355 kB/s
51.120.240.115,8080,true,CPH,Europe,Copenhagen,296 ms,1353 kB/s
52.151.81.2,2083,true,LHR,Europe,London,289 ms,1052 kB/s
172.190.150.25,8443,true,IAD,North America,Ashburn,272 ms,979 kB/s
52.137.60.154,443,true,AMS,Europe,Amsterdam,281 ms,73 kB/s
