IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
5.255.112.197,443,443,true,FRA,Europe,Frankfurt,17,7.95
147.45.77.119,443,443,true,FRA,Europe,Frankfurt,17,7.01
51.158.183.210,443,443,true,FRA,Europe,Frankfurt,18,5.13
89.116.227.31,443,443,true,FRA,Europe,Frankfurt,11,3.67
45.136.50.108,443,443,true,FRA,Europe,Frankfurt,18,3.08
5.61.57.62,443,443,true,FRA,Europe,Frankfurt,2,3.06
37.1.205.116,443,443,true,FRA,Europe,Frankfurt,17,2.50
192.236.249.103,443,443,true,FRA,Europe,Frankfurt,9,2.44
146.70.175.167,443,443,true,FRA,Europe,Frankfurt,2,2.11
193.35.18.234,443,443,true,FRA,Europe,Frankfurt,9,1.86
31.210.173.73,443,443,true,FRA,Europe,Frankfurt,11,1.82
172.205.149.35,8443,443,true,AMS,Europe,Amsterdam,244,1.43
147.45.75.8,443,443,true,FRA,Europe,Frankfurt,1,1.40
163.5.207.124,443,443,true,FRA,Europe,Frankfurt,8,0.76
23.94.216.156,43488,443,true,AMS,Europe,Amsterdam,266,0.48
81.22.132.254,443,443,true,FRA,Europe,Frankfurt,17,0.10
185.233.203.134,443,443,true,FRA,Europe,Frankfurt,17,0.09
2.59.183.26,443,443,true,FRA,Europe,Frankfurt,2,0.00
89.42.142.79,443,443,true,FRA,Europe,Frankfurt,8,0.00
