IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
172.245.55.11,13817,443,true,YYZ,North America,Toronto,257,1.56
192.3.155.52,41244,443,true,YYZ,North America,Toronto,221,1.13
192.227.227.87,8443,443,true,BUF,North America,Buffalo,263,0.98
107.175.35.20,27661,443,true,BUF,North America,Buffalo,225,0.83
107.172.62.49,40722,443,true,BUF,North America,Buffalo,226,0.68
192.3.153.254,34237,2096,true,BUF,North America,Buffalo,262,0.58
104.168.107.230,6286,443,true,YYZ,North America,Toronto,273,0.50
107.172.62.49,27013,443,true,BUF,North America,Buffalo,229,0.49
107.172.62.49,27014,443,true,BUF,North America,Buffalo,230,0.46
104.168.107.230,5474,443,true,YYZ,North America,Toronto,265,0.44
104.168.107.230,7970,443,true,YYZ,North America,Toronto,265,0.42
198.23.223.178,2053,443,true,BUF,North America,Buffalo,227,0.40
107.175.35.20,52290,443,true,YYZ,North America,Toronto,265,0.39
104.168.107.230,7550,443,true,YYZ,North America,Toronto,270,0.38
104.168.107.230,8884,443,true,YYZ,North America,Toronto,256,0.38
192.210.181.162,38585,443,true,BUF,North America,Buffalo,267,0.37
104.168.107.230,9333,443,true,BUF,North America,Buffalo,258,0.27
192.210.170.23,34237,2096,true,BUF,North America,Buffalo,268,0.26
104.168.107.230,2082,443,true,YYZ,North America,Toronto,270,0.25
104.168.107.230,10050,443,true,BUF,North America,Buffalo,261,0.20
104.168.107.230,5738,443,true,YYZ,North America,Toronto,261,0.18
192.210.243.216,2053,443,true,BUF,North America,Buffalo,266,0.17
104.168.107.230,6794,443,true,YYZ,North America,Toronto,231,0.16
104.168.107.230,2095,443,true,BUF,North America,Buffalo,227,0.13
192.210.170.102,48181,443,true,YYZ,North America,Toronto,218,0.12
104.168.107.230,8339,443,true,BUF,North America,Buffalo,255,0.11
104.168.107.230,9996,443,true,YYZ,North America,Toronto,268,0.07
192.227.227.87,2053,443,true,BUF,North America,Buffalo,216,0.06
107.172.148.186,433,443,true,YYZ,North America,Toronto,214,0.05
107.172.63.101,34237,2096,true,BUF,North America,Buffalo,225,0.05
23.95.235.137,443,443,true,AMS,Europe,Amsterdam,9,0.00
162.223.94.166,443,443,true,FRA,Europe,Frankfurt,7,0.00
