IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.209.63.185,443,0,true,FRA,Europe,Frankfurt,3,8.58
99.80.88.225,443,443,true,FRA,Europe,Frankfurt,1,7.08
54.78.94.139,2083,443,true,DUB,Europe,Dublin,246,3.53
54.220.49.241,2087,443,true,DUB,Europe,Dublin,237,2.96
3.253.210.158,2053,443,true,DUB,Europe,Dublin,245,2.93
52.16.9.10,2053,443,true,DUB,Europe,Dublin,243,2.73
34.244.119.61,8443,443,true,DUB,Europe,Dublin,236,2.32
52.212.168.5,8443,443,true,DUB,Europe,Dublin,246,2.22
63.32.194.15,2053,443,true,DUB,Europe,Dublin,241,2.22
54.74.189.161,443,443,true,FRA,Europe,Frankfurt,1,2.14
3.255.85.120,2053,443,true,DUB,Europe,Dublin,246,1.22
3.255.85.120,8443,443,true,DUB,Europe,Dublin,250,0.99
