IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.207.169,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,14.39
60.246.180.236,32544,443,true,HKG,Asia Pacific,Hong Kong,238,8.41
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,30,5.44
8.218.201.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,27,5.37
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,5.11
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,5.11
8.210.9.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,25,5.09
8.217.251.62,8080,8080,false,HKG,Asia Pacific,Hong Kong,32,4.92
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,4.91
47.76.146.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,24,4.88
8.210.107.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,4.82
47.242.171.94,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,4.79
8.218.201.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,4.78
8.218.181.189,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,4.73
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,27,4.63
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,4.55
8.218.188.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,36,4.52
8.210.107.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,26,4.45
47.76.159.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,21,4.36
8.210.107.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,4.34
8.218.207.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,4.33
47.76.159.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,26,4.29
8.218.65.237,80,80,false,HKG,Asia Pacific,Hong Kong,26,4.25
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,4.24
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,4.15
8.218.207.169,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,4.12
8.217.251.62,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,4.07
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,28,4.06
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,22,4.02
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,23,3.80
8.218.207.169,2087,2087,true,HKG,Asia Pacific,Hong Kong,21,3.75
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,26,3.57
8.217.149.28,2082,2082,false,HKG,Asia Pacific,Hong Kong,26,3.57
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,25,3.53
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,29,3.49
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,3.47
8.217.239.116,2082,2082,false,HKG,Asia Pacific,Hong Kong,20,3.43
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,3.33
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,25,3.24
8.218.65.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,29,3.23
8.217.149.28,2086,2086,false,HKG,Asia Pacific,Hong Kong,28,3.09
8.217.149.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,20,2.93
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,26,2.75
8.210.9.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,21,2.72
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,25,2.31
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,19,2.19
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,16,2.14
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,22,1.98
8.210.9.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,1.76
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,21,1.72
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,27,1.57
