IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
185.214.103.156,10643,443,true,ICN,Asia Pacific,Seoul,67,16.93
8.220.195.140,443,443,true,NRT,Asia Pacific,Tokyo,111,4.05
8.220.223.223,443,443,true,ICN,Asia Pacific,Seoul,110,3.55
210.87.195.139,26439,443,true,ICN,Asia Pacific,Seoul,61,3.42
58.76.170.119,30054,443,true,ICN,Asia Pacific,Seoul,118,2.64
20.39.191.103,443,443,true,LAX,North America,Los Angeles,4,1.48
59.187.242.236,35087,443,true,ICN,Asia Pacific,Seoul,216,0.96
59.187.242.236,25559,443,true,ICN,Asia Pacific,Seoul,95,0.60
39.126.105.86,30059,443,true,ICN,Asia Pacific,Seoul,237,0.37
59.187.242.236,34933,443,true,ICN,Asia Pacific,Seoul,98,0.37
59.187.245.232,14755,443,true,NRT,Asia Pacific,Tokyo,125,0.36
59.187.242.236,25481,443,true,ICN,Asia Pacific,Seoul,102,0.33
59.187.245.232,35680,443,true,ICN,Asia Pacific,Seoul,202,0.26
59.187.242.236,37986,443,true,ICN,Asia Pacific,Seoul,215,0.16
59.187.242.236,15432,443,true,ICN,Asia Pacific,Seoul,218,0.13
59.187.245.232,26939,443,true,ICN,Asia Pacific,Seoul,200,0.11
59.187.242.236,39728,443,true,ICN,Asia Pacific,Seoul,206,0.07
59.187.242.236,14402,443,true,ICN,Asia Pacific,Seoul,91,0.02
15.164.104.224,8080,80,false,ICN,Asia Pacific,Seoul,65,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,105,0.00
