IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.47.119.110,44403,443,true,LAX,North America,Los Angeles,181,6.33
154.9.251.200,34237,2096,true,LAX,North America,Los Angeles,189,5.65
209.209.59.112,14050,443,true,LAX,North America,Los Angeles,180,5.43
23.224.239.206,46449,443,true,LAX,North America,Los Angeles,181,4.88
154.40.57.245,34237,2096,true,LAX,North America,Los Angeles,189,4.40
154.7.183.12,58623,443,true,LAX,North America,Los Angeles,210,3.92
154.9.240.180,13280,443,true,LAX,North America,Los Angeles,180,3.90
38.47.114.55,34237,2096,true,LAX,North America,Los Angeles,168,3.88
154.29.146.240,22750,443,true,LAX,North America,Los Angeles,182,3.68
154.9.251.215,34237,2096,true,LAX,North America,Los Angeles,205,3.53
202.91.35.223,44070,443,true,LAX,North America,Los Angeles,183,3.26
154.9.241.14,34237,2096,true,LAX,North America,Los Angeles,198,2.95
154.7.180.202,57748,443,true,LAX,North America,Los Angeles,181,2.87
154.40.32.107,33721,443,true,LAX,North America,Los Angeles,179,2.81
154.9.230.57,34237,2096,true,LAX,North America,Los Angeles,200,2.68
38.47.116.136,34237,2096,true,LAX,North America,Los Angeles,166,2.52
154.9.234.58,34237,2096,true,LAX,North America,Los Angeles,180,2.27
154.9.251.214,34237,2096,true,LAX,North America,Los Angeles,199,2.17
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,207,2.06
23.225.116.68,45853,443,true,LAX,North America,Los Angeles,167,2.02
154.29.146.16,29932,443,true,LAX,North America,Los Angeles,208,1.82
154.9.230.113,34237,2096,true,LAX,North America,Los Angeles,188,1.44
154.29.146.16,10594,443,true,LAX,North America,Los Angeles,206,1.20
193.9.44.165,57826,443,true,LAX,North America,Los Angeles,239,1.06
154.40.32.15,8443,443,true,LAX,North America,Los Angeles,181,0.08
199.180.155.172,443,443,true,FRA,Europe,Frankfurt,1,0.00
38.47.114.190,29242,80,false,LAX,North America,Los Angeles,181,0.00
