IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,60,14.16
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,67,13.68
8.222.214.231,2086,2086,false,SIN,Asia Pacific,Singapore,63,9.20
8.222.180.86,2086,2086,false,SIN,Asia Pacific,Singapore,72,8.65
8.219.40.37,8880,8880,false,SIN,Asia Pacific,Singapore,69,7.77
8.219.42.72,2086,2086,false,SIN,Asia Pacific,Singapore,55,7.54
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,75,6.71
8.219.86.200,2082,2082,false,SIN,Asia Pacific,Singapore,64,6.44
47.245.86.230,2052,2052,false,SIN,Asia Pacific,Singapore,310,6.37
8.222.134.170,8443,8443,true,SIN,Asia Pacific,Singapore,59,6.00
8.219.42.72,8080,8080,false,SIN,Asia Pacific,Singapore,52,5.77
8.219.113.232,2082,2082,false,SIN,Asia Pacific,Singapore,60,5.49
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,70,5.43
8.219.99.169,2083,2083,true,SIN,Asia Pacific,Singapore,61,5.43
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,315,5.36
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,65,5.35
8.219.86.200,80,80,false,SIN,Asia Pacific,Singapore,60,4.93
8.222.249.190,8880,8880,false,SIN,Asia Pacific,Singapore,57,4.71
8.219.113.232,2095,2095,false,SIN,Asia Pacific,Singapore,60,4.67
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,64,4.62
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,67,4.61
47.245.86.230,2086,2086,false,SIN,Asia Pacific,Singapore,338,4.48
47.245.86.230,2082,2082,false,SIN,Asia Pacific,Singapore,334,4.11
8.219.42.72,2052,2052,false,SIN,Asia Pacific,Singapore,67,4.07
8.222.134.170,2095,2095,false,SIN,Asia Pacific,Singapore,66,3.74
8.219.99.169,2086,2086,false,SIN,Asia Pacific,Singapore,66,3.68
8.222.180.86,80,80,false,SIN,Asia Pacific,Singapore,61,3.58
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,321,3.55
8.222.249.190,8080,8080,false,SIN,Asia Pacific,Singapore,71,3.53
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,71,3.41
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,68,3.41
8.222.134.170,2053,2053,true,SIN,Asia Pacific,Singapore,69,3.30
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,59,3.27
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,222,3.12
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,58,3.08
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,66,3.07
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,239,2.93
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,74,2.90
8.219.40.37,8080,8080,false,SIN,Asia Pacific,Singapore,70,2.88
8.219.0.48,8443,8443,true,SIN,Asia Pacific,Singapore,65,2.83
8.222.180.86,2095,2095,false,SIN,Asia Pacific,Singapore,68,2.83
47.236.144.48,2087,2087,true,SIN,Asia Pacific,Singapore,235,2.79
54.169.152.207,2086,443,true,SIN,Asia Pacific,Singapore,54,2.73
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,228,2.69
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,66,2.55
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,247,2.54
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,248,2.47
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,64,2.47
172.93.165.228,443,443,true,FRA,Europe,Frankfurt,5,2.46
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,228,2.44
47.236.169.164,2052,2052,false,SIN,Asia Pacific,Singapore,235,2.41
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,249,2.38
8.222.180.86,8880,8880,false,SIN,Asia Pacific,Singapore,58,2.35
47.236.93.176,8080,8080,false,SIN,Asia Pacific,Singapore,236,2.31
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,243,2.30
8.219.0.48,2083,2083,true,SIN,Asia Pacific,Singapore,66,2.27
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,232,2.27
47.236.75.113,2052,2052,false,SIN,Asia Pacific,Singapore,238,2.20
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,230,2.18
8.219.202.130,2095,2095,false,SIN,Asia Pacific,Singapore,240,2.18
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,273,2.15
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,70,2.12
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,249,2.11
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,242,2.10
47.236.189.92,2086,2086,false,SIN,Asia Pacific,Singapore,235,2.05
47.236.254.120,2053,2053,true,SIN,Asia Pacific,Singapore,232,2.04
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,228,2.04
47.236.189.92,8080,8080,false,SIN,Asia Pacific,Singapore,241,1.98
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,237,1.97
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,236,1.96
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,245,1.95
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,237,1.91
8.219.202.130,8080,8080,false,SIN,Asia Pacific,Singapore,232,1.91
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,234,1.88
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,273,1.84
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,235,1.82
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,225,1.81
47.236.102.102,2095,2095,false,SIN,Asia Pacific,Singapore,228,1.81
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,61,1.81
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,226,1.80
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,279,1.79
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,244,1.74
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,233,1.74
47.236.205.188,8880,8880,false,SIN,Asia Pacific,Singapore,239,1.72
43.156.253.94,443,443,true,FRA,Europe,Frankfurt,6,1.72
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,226,1.71
8.219.40.37,2086,2086,false,SIN,Asia Pacific,Singapore,69,1.66
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,239,1.65
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,240,1.65
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,289,1.65
47.236.166.131,2052,2052,false,SIN,Asia Pacific,Singapore,234,1.63
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,240,1.62
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,241,1.61
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,231,1.60
47.236.169.141,2095,2095,false,SIN,Asia Pacific,Singapore,226,1.60
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,232,1.60
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,229,1.60
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,241,1.59
47.236.189.92,2096,2096,true,SIN,Asia Pacific,Singapore,226,1.58
8.219.202.130,8880,8880,false,SIN,Asia Pacific,Singapore,238,1.57
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,227,1.57
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,283,1.56
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,234,1.55
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,276,1.53
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,289,1.52
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,278,1.51
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,234,1.51
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,229,1.51
47.236.102.102,2086,2086,false,SIN,Asia Pacific,Singapore,242,1.50
47.237.100.206,2095,2095,false,SIN,Asia Pacific,Singapore,270,1.49
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,61,1.49
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,226,1.46
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,278,1.46
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,232,1.45
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,229,1.44
47.236.232.148,8443,8443,true,SIN,Asia Pacific,Singapore,224,1.44
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,245,1.40
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,232,1.38
47.237.14.220,2052,2052,false,SIN,Asia Pacific,Singapore,273,1.37
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,278,1.36
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,225,1.35
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,290,1.35
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,274,1.35
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,276,1.34
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,277,1.30
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,281,1.30
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,223,1.26
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,232,1.24
47.236.150.13,2086,2086,false,SIN,Asia Pacific,Singapore,238,1.23
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,272,1.20
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,230,1.20
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,239,1.19
47.236.149.107,2052,2052,false,SIN,Asia Pacific,Singapore,231,1.19
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,229,1.19
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,254,1.18
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,254,1.18
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,239,1.17
47.236.80.110,8880,8880,false,SIN,Asia Pacific,Singapore,242,1.16
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,261,1.15
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,283,1.14
47.236.189.92,8880,8880,false,SIN,Asia Pacific,Singapore,228,1.14
47.236.146.249,2096,2096,true,SIN,Asia Pacific,Singapore,232,1.13
47.237.83.20,8080,8080,false,SIN,Asia Pacific,Singapore,270,1.11
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,223,1.11
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,230,1.11
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,227,1.10
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,233,1.09
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,284,1.09
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,230,1.08
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,248,1.07
47.236.150.13,2052,2052,false,SIN,Asia Pacific,Singapore,240,1.06
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,281,1.06
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,275,1.04
47.236.102.102,8880,8880,false,SIN,Asia Pacific,Singapore,248,1.03
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,231,1.00
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,226,0.98
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,294,0.98
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,269,0.97
8.219.174.213,2052,2052,false,SIN,Asia Pacific,Singapore,229,0.96
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,223,0.95
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,229,0.94
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,241,0.93
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,238,0.91
47.236.168.17,2082,2082,false,SIN,Asia Pacific,Singapore,226,0.90
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,228,0.90
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,271,0.88
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,245,0.88
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,231,0.88
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,228,0.87
47.236.93.176,8880,8880,false,SIN,Asia Pacific,Singapore,248,0.87
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,243,0.87
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,242,0.86
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,285,0.82
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,280,0.81
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,248,0.80
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,276,0.78
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,281,0.78
47.236.93.176,2053,2053,true,SIN,Asia Pacific,Singapore,243,0.78
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,275,0.77
47.237.95.13,2086,2086,false,SIN,Asia Pacific,Singapore,281,0.77
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,241,0.77
8.219.161.129,80,80,false,SIN,Asia Pacific,Singapore,223,0.76
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,232,0.75
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,278,0.75
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,222,0.74
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,235,0.73
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,286,0.72
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,287,0.71
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,284,0.71
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,261,0.70
47.236.205.188,8443,8443,true,SIN,Asia Pacific,Singapore,247,0.70
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,285,0.69
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,263,0.68
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,232,0.67
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,245,0.66
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,278,0.65
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,228,0.64
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,233,0.64
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,281,0.62
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,237,0.61
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,293,0.58
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,231,0.58
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,271,0.58
47.236.180.24,8443,8443,true,SIN,Asia Pacific,Singapore,233,0.57
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,235,0.57
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,277,0.57
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,286,0.56
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,302,0.56
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,233,0.55
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,284,0.55
