IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,25,12.76
47.76.159.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,30,10.75
47.76.204.76,2083,2083,true,HKG,Asia Pacific,Hong Kong,25,10.62
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,27,10.01
47.76.159.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,20,7.75
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,14,7.31
47.76.94.15,2086,2086,false,HKG,Asia Pacific,Hong Kong,27,5.82
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,17,4.36
8.218.143.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,26,4.25
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,26,3.93
47.76.94.15,2095,2095,false,HKG,Asia Pacific,Hong Kong,28,3.74
47.76.146.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,26,3.63
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,29,3.27
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,27,3.10
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,20,3.10
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,25,2.06
47.76.77.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,22,1.71
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,27,1.47
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,28,1.23
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,58,0.90
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,0.83
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,21,0.36
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,21,0.30
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,24,0.12
152.32.130.150,806,443,true,HKG,Asia Pacific,Hong Kong,25,0.04
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,20,0.02
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,25,0.01
103.148.72.147,1443,443,true,HKG,Asia Pacific,Hong Kong,71,0.00
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,20,0.00
154.3.38.140,22387,80,false,HKG,Asia Pacific,Hong Kong,20,0.00
219.76.13.177,443,443,true,FRA,Europe,Frankfurt,5,0.00
