IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.246.148.196,443,443,true,FRA,Europe,Frankfurt,261,5.41
34.154.106.90,443,443,true,FRA,Europe,Frankfurt,276,5.40
34.116.203.148,443,443,true,FRA,Europe,Frankfurt,330,5.40
35.204.39.56,443,443,true,FRA,Europe,Frankfurt,287,5.40
34.141.16.75,443,443,true,FRA,Europe,Frankfurt,254,5.39
34.90.91.229,443,443,true,FRA,Europe,Frankfurt,272,5.39
34.147.119.30,443,443,true,FRA,Europe,Frankfurt,262,5.38
34.90.106.181,443,443,true,FRA,Europe,Frankfurt,288,5.37
34.118.67.161,443,443,true,FRA,Europe,Frankfurt,273,5.37
34.116.167.166,443,443,true,FRA,Europe,Frankfurt,267,5.36
34.154.103.44,443,443,true,FRA,Europe,Frankfurt,286,5.36
34.154.190.128,443,443,true,FRA,Europe,Frankfurt,289,5.35
34.90.5.4,443,443,true,FRA,Europe,Frankfurt,266,5.35
34.65.241.107,443,443,true,FRA,Europe,Frankfurt,279,5.33
34.118.108.19,443,443,true,FRA,Europe,Frankfurt,266,5.33
34.32.207.106,443,443,true,FRA,Europe,Frankfurt,291,5.33
35.246.157.28,443,443,true,FRA,Europe,Frankfurt,267,5.32
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,255,5.32
34.116.191.111,443,443,true,FRA,Europe,Frankfurt,266,5.32
34.118.41.156,443,443,true,FRA,Europe,Frankfurt,266,5.31
34.116.133.90,443,443,true,FRA,Europe,Frankfurt,335,5.31
34.116.167.198,443,443,true,FRA,Europe,Frankfurt,267,5.31
34.34.41.100,443,443,true,FRA,Europe,Frankfurt,259,5.30
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,344,5.30
34.116.169.139,443,443,true,FRA,Europe,Frankfurt,272,5.30
34.116.253.183,443,443,true,FRA,Europe,Frankfurt,369,5.29
34.118.67.161,443,443,true,FRA,Europe,Frankfurt,334,5.29
34.91.38.218,443,443,true,FRA,Europe,Frankfurt,256,5.28
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,278,5.28
35.246.158.54,443,443,true,FRA,Europe,Frankfurt,268,5.27
